code,name,continent,population,"sum(population) over()"
MKD,Macedonia,Europe,2024000,6078749450
MLI,Mali,Africa,11234000,6078749450
MLT,Malta,Europe,380200,6078749450
MMR,Myanmar,Asia,45611000,6078749450
MNG,Mongolia,Asia,2662000,6078749450
MNP,"Northern Mariana Islands",Oceania,78000,6078749450
MOZ,Mozambique,Africa,19680000,6078749450
MRT,Mauritania,Africa,2670000,6078749450
MSR,Montserrat,"North America",11000,6078749450
MTQ,Martinique,"North America",395000,6078749450
MUS,Mauritius,Africa,1158000,6078749450
MWI,Malawi,Africa,10925000,6078749450
MYS,Malaysia,Asia,22244000,6078749450
MYT,Mayotte,Africa,149000,6078749450
NAM,Namibia,Africa,1726000,6078749450
NCL,"New Caledonia",Oceania,214000,6078749450
NER,Niger,Africa,10730000,6078749450
NFK,"Norfolk Island",Oceania,2000,6078749450
NGA,Nigeria,Africa,111506000,6078749450
NIC,Nicaragua,"North America",5074000,6078749450
NIU,Niue,Oceania,2000,6078749450
NLD,Netherlands,Europe,15864000,6078749450
NOR,Norway,Europe,4478500,6078749450
NPL,Nepal,Asia,23930000,6078749450
NRU,Nauru,Oceania,12000,6078749450
NZL,"New Zealand",Oceania,3862000,6078749450
OMN,Oman,Asia,2542000,6078749450
PAK,Pakistan,Asia,156483000,6078749450
PAN,Panama,"North America",2856000,6078749450
PCN,Pitcairn,Oceania,50,6078749450
PER,Peru,"South America",25662000,6078749450
PHL,Philippines,Asia,75967000,6078749450
PLW,Palau,Oceania,19000,6078749450
PNG,"Papua New Guinea",Oceania,4807000,6078749450
POL,Poland,Europe,38653600,6078749450
PRI,"Puerto Rico","North America",3869000,6078749450
PRK,"North Korea",Asia,24039000,6078749450
PRT,Portugal,Europe,9997600,6078749450
PRY,Paraguay,"South America",5496000,6078749450
PSE,Palestine,Asia,3101000,6078749450
PYF,"French Polynesia",Oceania,235000,6078749450
QAT,Qatar,Asia,599000,6078749450
REU,Réunion,Africa,699000,6078749450
ROM,Romania,Europe,22455500,6078749450
RUS,"Russian Federation",Europe,146934000,6078749450
RWA,Rwanda,Africa,7733000,6078749450
SAU,"Saudi Arabia",Asia,21607000,6078749450
SDN,Sudan,Africa,29490000,6078749450
SEN,Senegal,Africa,9481000,6078749450
SGP,Singapore,Asia,3567000,6078749450
SGS,"South Georgia and the South Sandwich Islands",Antarctica,0,6078749450
SHN,"Saint Helena",Africa,6000,6078749450
SJM,"Svalbard and Jan Mayen",Europe,3200,6078749450
SLB,"Solomon Islands",Oceania,444000,6078749450
SLE,"Sierra Leone",Africa,4854000,6078749450
SLV,"El Salvador","North America",6276000,6078749450
SMR,"San Marino",Europe,27000,6078749450
SOM,Somalia,Africa,10097000,6078749450
SPM,"Saint Pierre and Miquelon","North America",7000,6078749450
STP,"Sao Tome and Principe",Africa,147000,6078749450
SUR,Suriname,"South America",417000,6078749450
SVK,Slovakia,Europe,5398700,6078749450
SVN,Slovenia,Europe,1987800,6078749450
